,Tweet,ID,Length,Source,Favourites,Reweet_count,Timestamp,sentiment,popularity,sentimentValue
0,RT @berlingonzalezs: #Tecnologia Cómo obtener el #iOS16 Beta en tu iPhone. https://t.co/uT29TuXEc6 https://t.co/iyyNHFeo2l,1566024839340691457,122,Twitter for Android,0,1,2022-09-03 11:26:31+00:00,0,Neutral,0.0
1,"Coachy is out for iOS16 beta testing #buildinpublic #iOS16 
https://t.co/LAoPWxyGvc",1566023977386008577,83,Twitter for iPhone,0,0,2022-09-03 11:23:06+00:00,0,Neutral,0.0
2,"iPhone14 Proの常時表示の詳細が明らかに　ステータスバーのアイコン位置変更なども確認 - こぼねみ 

#AppleEvent  
#iPhone14Pro 
#iPhone14ProMax 
#iPhone14… https://t.co/Nue050IOyl",1566023662313975808,136,Twitter Web App,2,1,2022-09-03 11:21:51+00:00,0,Neutral,0.0
3,"RT @true_RICK_AQUA: How to watch Netflix ,Apple TV , Hulu for free 😊✌🏽

Shares Appreciated ❤️
 #rickaquatechtips #tech #techyoutuber #andro…",1566023190106804224,140,Twitter for iPhone,0,6,2022-09-03 11:19:58+00:00,1,Positive,0.30000000000000004
4,#Tecnologia Cómo obtener el #iOS16 Beta en tu iPhone. https://t.co/uT29TuXEc6 https://t.co/iyyNHFeo2l,1566020578171133952,101,TendenciasTech,1,1,2022-09-03 11:09:35+00:00,0,Neutral,0.0
5,"How to Unlock iPhone without Passcode &amp; without Apple ID. https://t.co/fSQNA4DoQM

#Apple #iPhone #iPad #iPodTouch… https://t.co/c0403ZVucu",1566013936419340295,143,Twitter Web App,1,0,2022-09-03 10:43:12+00:00,0,Neutral,0.0
6,"How to use Shared with You in iOS 16 and macOS Ventura
https://t.co/SDZW1NK0fe

#Techbase #TechbaseNigeria… https://t.co/2R3Fa8WbiW",1566011206388928512,131,Twitter Web App,0,0,2022-09-03 10:32:21+00:00,0,Neutral,0.0
7,4 DAYS TO GO TILL APPLE EVENT 🚨🚨#AppleEvent #iPhone14 #AppleWatch8 #iOS16,1566010757178966017,73,Twitter Web App,3,0,2022-09-03 10:30:34+00:00,0,Neutral,0.0
8,"Ami(e) #aveugle ou #malvoyant, désormais, dans #iOS16 / #iPadOS16, sache que tu peux régler, dans les réglages d’… https://t.co/C7m6G4iMdC",1566010684810399745,138,Twitter for iPad,1,0,2022-09-03 10:30:16+00:00,0,Neutral,0.0
9,iPhone 14 in few days……..@Apple #AppleEvent #iOS16,1566009271036350471,50,Twitter for iPhone,0,0,2022-09-03 10:24:39+00:00,-1,Negative,-0.2
10,"RT @ani_digital: These iPhone models will no longer support WhatsApp following this month's Apple event: Find out

Read @ANI Story | https:…",1566008073864376320,140,Twitter for Android,0,6,2022-09-03 10:19:54+00:00,0,Neutral,0.0
11,"RT @franmanauta: Homescreen de Setiembre. 

Me ha costado tiempo, pero creo que he encontrado mi página de inicio más productiva y útil de…",1566006749722775552,139,Twitter for iPhone,0,4,2022-09-03 10:14:38+00:00,0,Neutral,0.0
12,"RT @ani_digital: These iPhone models will no longer support WhatsApp following this month's Apple event: Find out

Read @ANI Story | https:…",1566005815290777600,140,Twitter for iPhone,0,6,2022-09-03 10:10:56+00:00,0,Neutral,0.0
13,"Muszę przyznać, że funkcja wycinania w najnowszym #iOS16 jest cholernie przydatna, szczególnie dla twórców...
I naw… https://t.co/TcvD3EpimH",1565993817605545985,140,Twitter Web App,6,0,2022-09-03 09:23:15+00:00,0,Neutral,0.0
14,"RT @ani_digital: These iPhone models will no longer support WhatsApp following this month's Apple event: Find out

Read @ANI Story | https:…",1565993048932134913,140,Twitter for Android,0,6,2022-09-03 09:20:12+00:00,0,Neutral,0.0
